,review_id,app_id,review_text,label
0,136820163,1097620,"after playing this game, it made me wanna become a S.W.A.T mamber so i can blow off peoples head and grenade my friends. it also made me wanna do drugs becuase the ""no drugs no hugs"" mission it sexy. 


ps:add seggz pls


Edit: i became a racist police officer and got shot. 10/10",1
1,136820275,2328760,"Good game, graphics do look better than FX3, and there are some new tables. Ray tracing is available on supported GPUs but I left it off.
HOWEVER, having to buy all the previous tables again sucks, I thought there was a discount for re-buying but the prices look the same as before?

I'll only buy the new tables, and play the old ones on FX3 unless they're given away free or really really cheap.
",1
2,136820498,1364020,"What a great game with so much promise, I am in love with the movement and the 360 degree combat. Learning to traverse the maps and use positioning and movement is so unique and fun. The gun play is also great and I wouldn't change much, some balancing is needed which the devs have already noted. 

Tarkov ruined all FPS games for me and this is the first fps game I have enjoyed in years. 

A lot of people are not sold on the audio it certainly feels strange to start with but I soon grew to love it as we have all got so used to the overwhelming audio in most games now.

Spawns need a bit of work but this has also already been noted by the devs and the interaction and updates from the devs at launch has been really good and fills me with some confidence this game will only get better.

Other things to note are the UI could do with some work and region lock could do with being added. But the foundation for this game is really strong and unique if they can keep supporting it and polishing it, this will be Gem. 

My tip master movement and the use of cover. Enjoy!",1
3,136820495,1364020,Me enjoy,1
4,136820488,1364020,Better than Cod and BF42,1
5,136820298,1364020,"Interesting gameplay, its quite fun. Though... most games influenced by China seem to go downhill quite quickly and thus I hope to be proven wrong here. I hope they can maintain a healthy playerbase, improve transparency on their plans going forward, and won't resort to awful monetization practices. The last thing I want to see is them tossing in an abundance of microtransactions into a paid game, and even worse, end up making the game free JUST to justify continue sale of cash grabby cosmetics born of laziness and lack of care to have a good game that isn't infested with trash like that. If they can avoid that and add content with genuine care and thought going forward this game will be quite the treat especially once it is finished.",1
6,136820246,1364020,Fun shooter,1
7,136819180,1364020,"Its a very different playing kind of FPS, its mostly cause there is not really a top or a bottom of the map. Its also very enjoyable once you get the hang of it",1
8,136819065,1364020,"Fun game, think more fps but with flight mechanics. love the 4 dimensional shooting coooool stuff.",1
9,136818373,1364020,everyone uses one class thats not fun needs more work,0
10,136820397,1651560,"Its like My Time at Portia had a baby with Banished, but this baby was retarded.  But still enjoyable",1
11,136817799,1651560,"I want the mixed button!
It's very nice, but really early in its development.
It feels more like an extended demo.
I'm optimistic about the future, I think it will become a nice game, I recommend to follow the updates, but for now I would not play it much.

Buy it if you want to support the developers and/or you want to be involved in the discussion",1
12,136819922,1911360,"What an amazing roguelite game! a great blend of returnal, metroid and a bit of shadow of the beast. Nice enemy variety. interesting weapon synergies. lots of biomes with randomized levels that feel handcrafted nonetheless. lots of secret passages and such. great stuff.",1
13,136818080,1798020,Please buy this game so that there are actually people to play against online...,1
14,136819175,"1,79,80,10,17,98,020",Got up to the second boss in MMBN1 (Numberman) and game repeatedly crashes during initial boss fight cutscene. The same thing occurred during the Heatman cutscene and I had to restart the game multiple times before it let me fight. Still am unable to fight Numberman.,0
15,136817493,"1,79,80,10,17,98,020",Megaman,1
16,136824052,1798010,I love the game but this port frequently freezes and I have to start over from the last save. Please fix this.,0
17,136823907,1798010,Plays great on Steam Deck with no settings changes.,1
18,136819930,1797630,"Using Mime on the dog's ability plays a unique animation where Emma has a fursuit.
This game as a whole is full of tiny details like that, which they threw in without needing to. It looks like a tiny game because of the pixel art, but there's a [b] lot [/b] in here.
There's a lot of emphasis on player choice, especially mechanically. The story is fairly linear as of Day 2, but even that has its fair share of decisions that I won't spoil.
The setpieces and UI are nice and smooth, and the band never seems to run out of bangers to play (with some charming lyrics set the rhythm, in text box form). 
But half the time, it'll just crash after an encounter. It's a mild inconvenience since it's remembered the end result each time, and I haven't lost any progress due to this bug. The polish is otherwise top notch.
Wholehearted recommendation, this is a game that feels tailored to me specifically. Think Kaiji and Your Turn To Die mixed together, into a creamy concoction of constant, simmered hype.
Future classic.",1
19,136820782,2273470,"Not as painful as the real thing lmao
But I honestly can't wait for a full release",1
20,136818823,2329130,This is a pretty good game and I had a good time with it. I plan to have an in-depth review on my Youtube channel this week. Keep up the great work! :),1
21,136817733,2329130,"TLDR: Its good, it doesn't do anything to groundbreaking. 
I beat it in about 2.5 hours, its pretty linear but the level design is functional with some highlights and the art design is pretty strong overall. Scares are OK for the most part, the atmosphere in the first half is strong although there are a few lazy jump scares.
My only major criticism is that the killer AI could use some work in a certain scene to make it feel a bit more tense. Due to the length of said scene, the limitations of the AI become very evident - limiting the overall tension factor.
I would also have liked to see some explanation of the killer's backstory and motives as whilst he has a strong design, he seems very 2D. 
A final point is that the game seems to be set in England with many familiar sights including but not limited to the bins. My immersion was shattered however as there are American cop cars on the streets rather than our Battenburg Marking'd filth mobiles  - 0/10 please fix.",1
22,136819285,1922010,"worth the money, lots of fun, one of the best VR games I've played so far without the need for mods.",1
23,136818916,1922010,"Solid gun play. Extremely fun and useful Gadget/economy system. One of the best at launch titles I have player in VR for years. I look forward to them expanding this game and adding new and improved features. Worth the $30 but if you find this game on sale don't question a pick up of this title. 

Only downside is that at this time there is no party systems so grouping with friends can be annoying at times. You will have better luck just making a private server and waiting for it to populate.

Feedback to the Devs - You've gotten everything right, for sustainability on a VR platform you will have to push constant updates even if Minor. Try to focus on the optimization first as lag will turn people away from a VR title. Eventually adding a player/community map system will benefit you, even if it is a voted through process from your team. Until then I would try to add in more maps as 3 or 4 maps at launch will get stale fast. Besides that keep up the hard work! Love this game.",1
24,136818046,1922010,"If the devs add the ability to turn off crossplay, this would be soooo much better. Still, game  is good. Young playerbase is ruining it tho. Idgaf about the way your voice sounds, but the least you could do is play the actual game. Don't TK. And be quiet when people ask to hear footsteps...",1
25,136817509,1922010,Simply great,1
26,136817494,1922010,R6 in VR FUCK YESS,1
27,136819222,2097410,"great game, you should buy.",1
28,136819099,2114350,poop,0
29,136821017,1941780,fun would be more fun with people,1
30,136822795,955200,:D,1
31,136822876,2328760,"Can't stand the feel.  Solid visual upgrade, but the physics and general game feel are far worse than any other pinball game i've played.  

Go play Demons tilt, or older version of this",0
32,136823886,1364020,"Played for 30 minutes. Fun game, however, optimization is very poor.",0
33,136822911,1364020,"nice, i think medic needs a buff she's mainly for close range but sucks at close range compared to assault. nice game overall hope for more updates 👍",1
34,136821416,1649740,"Thoroughly enjoyed this game; its the first game I've been engaged enough with to try and beat in one sitting (it took two). Gorgeous pixel art, interesting lore/worldbuilding, solid combat, unique and challenging bosses. There are enough different weapons/abilities and enough variety of environments/enemies that I actually felt compelled to try different options, which doesn't always happen for me in these types of games.  I've seen a few negative reviews that dislike the feel of the combat, but to each their own, I suppose. Overall, if you're searching for a minimalist 2D indie Bloodborne, or something that feels a bit like a very challenging Link to the Past, Hunt the Night may be worth checking out.",1
35,136822801,1651560,"Love this game, can't wait for more updates to come out.",1
36,136821781,1651560,"I've played The Settler's franchise for many years, I tested out the new ""The Settlers: New Allies"" game that recently came out before trying this game as well.

The game is an absolute masterpiece in the making.
Please keep up the incredible work, devs.
There isn't even combat in the game yet and i'd rather spend hours building in Fabledom, than play the atrocity that is ""New Allies"", which has combat. 
The graphics are beautiful yet simplistic, game play incredibly smooth, the Prince and Princess mechanic i find to be amazingly unique, you guys really did create something beautiful here. 

The amount of content already in the game as a ""early access"", is incredible and I'm very excited to see what future updates/changes will bring!!!! 

I highly recommend this game to everyone!!!

This game is a pristine, immaculate, Diamond among the rough pebbles, please give this game a try!!!",1
37,136823424,1183800,"Very fun. Hope to see some updates and DLCs in the future. I already know I want more of this (more classes, weapons, maps, scenarios etc.)",1
38,136822582,1183800,"I thought it was rough but fairly straight-forward enough not be TOO difficult...then things just started going wrong. Little things. And then big things.

I highly recommend it. We could use all the help we could get against these vermin.",1
39,136821787,1183800,"Its been a few years since I lost a night of sleep because I turned a game on at 9pm only to turn it off at 9am, even then only because I had real world responsibilities. Game starts off pretty hard but once you get a few key level ups, you can start chewing through enemies with your cooldown based abilities. I am incredibly impressed with how unique each character is and how varied their individual playstyles are. This game is a rogue-lite technically but each (winning) run will take well over 10 hours, probably closer to the 15-20 hours for your first run.

I cannot stress enough just how FUN this game is and how much I've fallen in love with it. Its genuinely an improvement on the games that it gathered so much inspiration from. This game tries to do so much and succeeds on almost every point, you can clearly see the passion behind this title and the audience really does benefit from it. This is the easiest recommend that I have had in years.

Despite all my praise, there are three [i] small [/i] gripes I have with this game:
[*]  the XCOM Fog of War pod aggro system. If you move one tile too far you can pretty much be ambushed by enemies you're very much not ready for. Can slow the pace of the game significantly on certain maps.

[*]  no undo button for non-chance related actions. You overwatched someone and then realized 5 seconds later a much better use of their turn? Too bad, overwatch can't be de-activated even though it hasn't really taken effect yet.

[*]  there's an upgrade that gives you the ability to give an action to any character once per map ...except you can't use that ability on characters that have no remaining actions. For an ability that's once per map, it feels really bad to pre-emptively pop that once per map action on someone just in case they miss their 85% shot. Should have the option to provide that action to anyone, regardless of their current remaining actions.",1
40,136820949,1183800,"mostly mixed:

- the concept is brilliant, xcom with some very light darkest dungeon campfire mechanics
- replayability is extremely low
- total playtime is about 5h or so for a run
- game warns that it is _difficult_ but even on higher difficulty i found it to be quite trivial
- 2 or 3 classes are extremely overpowered, most others are not very useful
- it gets VERY repetitive very fast

for 10, 15 bucks, it's good value",1
41,136820749,1905220,"Janky controls (valve index), weird interactions, no key bindings that can be changed and I had to guess how to drop the weapons. It's not very well made tbh, worth of a game made at the start of mainstream VR in 2017. 

It's also the exact same maps and exact same game as the non-vr title, so nothing new except... VR. 

I've played through the 4 first maps and everything was the same, the challenges, etc. 

Disappointing. Will get a refund.",0
42,136824015,1567000,potential to be one of the best revival boomer shooters but suffers from some of the most abysmal level design imaginable.,0
43,136824052,"1,79,80,10,17,98,020",I love the game but this port frequently freezes and I have to start over from the last save. Please fix this.,0
44,136823907,"1,79,80,10,17,98,020",Plays great on Steam Deck with no settings changes.,1
45,136826456,1798010,"I'll be another to admit that I'm on the hype train with nostalgia, but the gameplay seriously holds up after the many years since it first released on GBA. Capcom didn't have to hit me in the feels bringing it back, but I'm so glad to see BN come back strong as it is now. The unique strategy-action RPG gameplay of these games is fantastic, and the music is top-tier for the hardware it was up against.

Play it. You won't be disappointed.",1
46,136825074,1798010,"Mega Man 2,3,not 4 and 6 is the reason your buying",1
47,136822946,2273470,so good,1
48,136821805,2072640,FUN,1
49,136824148,1922010,Very fun,1
50,136822758,1922010,siege but with quest kids complaining their vr headset is dying,1
51,136822680,1922010,"I can't remember the last time i played a VR game that feels so polished and smooth, this is not a pass, is a 100% BUY!!!",1
52,136822285,1922010,"ALMOST PERFECT 9/10
it just need a cool soundtrack",1
53,136822234,1922010,more fun than siege,1
54,136822053,1922010,"Too many children.

Add ability to turn off crossplay to avoid the quest kiddies please.",0
55,136821888,1922010,"this slaps
",1
56,136822612,2211410,"meh, games barely playable. looks an N64 game, runs at 35fps on a 3080. the gameplay i did get to experience seems unintuitive. harvesting stone required me to randomly hit some terrain that kinda looked like stone. Dont get me wrong, i want a game like this to exist/work, but this shit is just a rushed cash grab.",0
57,136824673,1941780,"amazing! can't wait to see the future of this game, it is so fun so far!!! keep this up!!!!!",1
58,136824069,1941780,God,1
59,136824068,1941780,god,1
60,136823489,1941780,Had lots of fun playing it solo! Wish you could pause the game though for when going AFK. I will say while the game isn't very difficult even on the impossible mode it is NOT new player friendly at all even on easy mode. Expect to die a lot simply because you lack experience.,1
